Username,Create time,Teks
Chynthia_K,Tue Feb 25 15:02:13 +0000 2025,. BIAR YANG BELUM TAHU JADI TAHU YANG SUDAH TAHU JADI TAMBAH TAHU. Betapa Bengisnya Rezim Jokowi kala itu. Namun selalu dibungkus dengan Pencitraan melalui BerFoto sama Rakyat Bagi Bingkisan Biar gak Kelihatan Busuknya. #IndonesiaGelap #AdiliJokowi . https://t.co/0KT8eJGyww
humaniesproject,Fri Feb 21 10:29:19 +0000 2025,Humanies Project juga hadir di Bandung! Menyediakan makanan minuman P3K dan ambulance #IndonesiaGelap https://t.co/rhjqO81DMI
Saham_fess,Tue Feb 25 03:36:18 +0000 2025,Beneran indonesia gelap sih ini wkwkwkwk shm! https://t.co/AGOjlgAqAA
MurtadhaOne1,Fri Feb 28 11:52:36 +0000 2025,PT. Antam memproduksi 109 Ton emas PALSU PT. Pertamina memproduksi Pertamax PALSU Pemerintah memproduksi pejabat PALSU Rakyat disuruh makan janji PALSU Dibilang #IndonesiaGelap gak mau Malah jawabnya Ndasmau https://t.co/FAyBBQSd2T
barengwarga,Thu Feb 27 10:11:13 +0000 2025,Ternate mahasiswa dan jurnalis dipukul Satpol PP saat aksi #IndonesiaGelap. https://t.co/Wijh13yekS
RagilSemar,Tue Feb 25 23:51:30 +0000 2025,Suara #IndonesiaGelap dilecehkan okeh si paling-anti-kritik. Pakai gaya menye2 yg sama. Modal proyeksi Goldman Sachs tentang Ekonomi Terbesar di tahun 2050 (Bagong lampirin tabelnya). Padahal yg disuarakan adalah kondisi riil saat ini jawabnya pakai itung2an proyeksi. Gimana? https://t.co/eN1gEAqvQs
neVerAl0nely,Thu Feb 27 09:53:52 +0000 2025,Aksi masa aliansi mahasiswa dan rakyat sipil di kota Bengkulu BUMI RAFLESIA MELAWAN Kembali memakan korban dari Represifitas Aparat dalam aksi #indonesiagelap️ Terdata ada 31 orang yang menjadi korban dari kekerasan oknum kepolisian. https://t.co/ut1cg6Qhsx
yaniarsim,Tue Feb 25 06:19:47 +0000 2025,Hastaq Suara Rakyat Konoha #BayarPolisi #IndonesiaGelap #DaruratPendidikan #AdiliJokowi Dibalas dengan Hidup Jokowi......Ndassmu https://t.co/oxlUFcWuq4
yaniarsim,Fri Feb 28 03:02:26 +0000 2025,Beginilah akibatnya kalau rakyat sudah muak ditipu. #IndonesiaGelap https://t.co/F7hQ8Qb6Nt
tekarok007,Fri Feb 21 06:58:13 +0000 2025,Makin muncul bukti-buktinya kalau demo #IndonesiaGelap emang cuma buat selametin Hasto doang ohok.. ohok. Dengan berusaha copot Kapolri ohok..ohok... *Bonus pic di komentar https://t.co/j1B2VXDpmY
__AnakKolong,Sat Mar 01 03:37:58 +0000 2025,Kepada seluruh anggota @DPR_RI ; saya ucapkan ; selamat menjalankan ibadah puasa. Pun selamat bagi yang tak puasa. Pokoknya semua selamat . . . ️ #Ramadan2025 #IndonesiaGelap https://t.co/3T6UntKyKg
vyeimo83,Wed Feb 26 03:31:46 +0000 2025,Aksi #tolakMBG berlanjut di Deiyai Papua hari ini (26/2). Siswa pelajar SD SMP SMU turun jalan tuntut pendidikan gratis. #tolakMBG #IndonesiaGelap #papuaviral https://t.co/0DBi8shazh
yaniarsim,Fri Feb 21 02:58:34 +0000 2025,Bayar..bayar...bayar Aksi Kamisan 20/2/2025 Lirik lagu bayar3x resmi dilarang Katanya yg mengkritik paling pedas jadi sahabatnya Polri gymn nih pak @ListyoSigitP #kamibersamasukatani #IndonesiaGelap https://t.co/pQDTHbbAmW
hourlyidn,Fri Feb 21 11:34:32 +0000 2025,#IndonesiaGelap https://t.co/ekEdRRGrmd
3mawarputih,Mon Feb 24 14:18:13 +0000 2025, DILANTIK BESOK! ngerr Merayakan keberhasilan danantara dengan kongkow... Coba ada yang tau ga siapa aja orang yang ada di foto dan video ini? #IndonesiaGelap #Danantara https://t.co/JK5TKeKcxi
BiLLRaY2019,Thu Feb 27 07:16:02 +0000 2025,Kenapa waktu Kejaksaan geledah rumah Bangsat Riza Chalid bawa tentara segala emang bekingannya siapa sih? #IndonesiaGelap https://t.co/F9rism07UZ
BBCIndonesia,Fri Feb 21 08:30:18 +0000 2025,Koalisi Masyarakat Sipil menggelar puncak aksi demonstrasi Indonesia Gelap pada Jumat (21/02). Beragam elemen masyarakat mulai dari aktivis hingga mahasiswa turun ke jalan. https://t.co/TLw6JJ3VnU https://t.co/uQK0koZ41N
piyikkeren,Thu Feb 20 16:47:56 +0000 2025,#ArtistBersuara #IndonesiaGelap https://t.co/tivjb9xghK
Dandhy_Laksono,Fri Feb 28 00:16:42 +0000 2025,#IndonesiaGelap https://t.co/hyRfzQbMoC
MurtadhaOne1,Fri Feb 28 06:16:15 +0000 2025,Sampe putra mahkota kraton solo menulis seperti ini saking kesalnya pada pemerintah karena carut marut negeri ini #IndonesiaGelap https://t.co/sS0K3iOMW5
MurtadhaOne1,Wed Feb 26 11:03:52 +0000 2025,193 T x 5 tahun= 965 T. Udah hampir 1 kuadriliun atau 1000 T Censuog #IndonesiaGelap https://t.co/vwH6Fgj9Nb
jackjackparrr,Sat Feb 22 11:06:24 +0000 2025,Yasudah kalau media dan influencer lokal gakmau beritain. Kita yang international aja. #indonesiagelap diliput langsung oleh ABC News https://t.co/4jJlKplN4o
jackjackparrr,Mon Feb 24 14:21:40 +0000 2025,Dapat kiriman kerjaan buat buzzer fee nya cuma 400 rupiah ya Allah suram #indonesiagelap https://t.co/0jIQ6erjyL
BiLLRaY2019,Wed Feb 26 13:15:51 +0000 2025,Nih Komisarisnya Pertamina Patra Niaga saat ini..! Salah satu komisarisnya adalah timses nya PS Ngeri banget ya buzzer2 ternakan mulyono dikerain buat nyerang Ahok... #IndonesiaGelap https://t.co/DvKw0zOD2V
Konsisten6966,Thu Feb 20 16:01:29 +0000 2025,Sukatani Band Punk kerap meneriakkan isu sosial &amp; perlawanan Di atas pentas selalu memakai topeng #kamibersamasukatani #IndonesiaGelap #ArtistBersuara Namun kali ini di video permintaan maaf ke polisi Warganet Ini Merupakan Bentuk Represi dr Polisi https://t.co/CYWe5yP0NC https://t.co/BllkJnIOYP
GreenpeaceID,Fri Feb 21 07:24:57 +0000 2025,Kami udah di sini yaa. Sampai jumpa! #IndonesiaGelap https://t.co/7xCBTN9NAw
blackshark7890,Thu Feb 27 22:32:33 +0000 2025,Pak @prabowo yg ngomong indonesia gelap tuh si subianto .. Assalamulaikum pagi🇲🇨 https://t.co/o033b0aGel
AntoniusCDN,Fri Feb 28 01:34:30 +0000 2025,Welcome to #IndonesiaGelap Menunggu Rupiah jadi 5000... https://t.co/aceEDqaRfI
jenassainte,Fri Feb 21 12:14:23 +0000 2025,Massa aksi bubar nyetel lagu Bayar Bayar Bayar #IndonesiaGelap @BudiBukanIntel https://t.co/KMOyb4dOr4
BiLLRaY2019,Fri Feb 28 06:21:40 +0000 2025,Tuntutan aksi INDONESIA GELAP gak dipenuhi Mahasiswa segel Gedung DPRD Solo. Hidup Mahasiswa #IndonesiaGelap #KaburAjaDulu https://t.co/2GBA4doqB0
hanggapry,Fri Feb 21 09:02:12 +0000 2025,Lawan sampai menang!! #IndonesiaGelap #IndonesiaDarurat #PeringatanDarurat https://t.co/Nx0FQ9gJEt
